"","V1"
"NRHV151_CD4",0.991325526388215
"NRHV151_CD8",1.08778508916763
"NRHV321_CD4",0.301704377491089
"PsA4920_CD4",1.19528844048408
"PsA4945_CD8",0.42880744646138
"PsA4948_CD8",0.553147910416826
"PsA4953_CD8",3.28989626945201
"PsA4960_CD8",0.622625840685303
"NRHV321_CD8",0.956458836013484
"PsA4944_CD4",1.14251344544931
"PsA4947_CD8",0.541178976981495
"PsA4949_CD4",0.928549988108883
"PsA4954_CD8",1.55909722848058
"PsA4963_CD8",0.896409576271424
"NRHV238_CD4",1.65546982457045
"nrhv238_CD8_",0.612338297615741
"PsA4950_CD4",0.977900062692651
"PsA4961_CD8",0.869093841160705
"PsA4964_CD8",0.566953819787865
"PsA5012_CD4",1.73725257275348
"NRHV326_CD8",1.18063381769868
"PsA4920_CD8",0.959117528395539
"PsA4952_CD8",1.21873128428029
"PsA4963_CD4",0.496775059164151
"PsA5008_CD4",1.11686819351583
"PsA5012_CD8",1.4029922222316
"PsA4941CD8",0.998451595220681
"PsA4944CD8",1.15392337066808
"PSA4946CD8",0.963666137124889
"PsA4952CD4",0.466763946285961
"PsA4954CD4",0.800502426318938
"PsA4962CD8",0.473347075676664
"PSA4964CD4",0.687838218664771
"PsA4965CD8",1.12962441168541
"PSA4969CD8",1.57973562282005
"PsA4969CD8_SF",0.975869465171267
"PSA5008CD8",1.43454324540124
"PsA5014CD4",1.1588439838366
"PsA5014CD8",1.34038389504824
"PsA5019CD8",0.922092643869435
"NRHV171CD4",0.67629766282699
"NRHV171CD8",0.679465018852354
"NRHV324CD4",1.41674408312539
"PsA4950CD8",0.319517075179294
"PsA4958CD4",1.06244267311155
"PsA4958CD8",0.678364127403173
"PsA5009CD4",0.842038690538468
"PsA5010CD4",1.21144460238936
"PsA5010CD8",1.40744421207853
"PsA5018CD4",1.15710656230705
"PsA5018CD8",1.01578605950697
"PsA5023CD8",1.50001056359932
"PsA5026CD4",1.09157993032529
"PsA5026CD8",1.31495046337937
"PsA4956CD4",1.51803942022682
"PsA4956CD8",1.499018709629
"PsA4968CD8",1.42811039785898
"PsA5007CD8",1.39379281106855
"PsA5009CD8",1.32218625160168
"PsA5013CD4",1.17660878496078
"PsA5013CD8",1.50741898760027
"PsA5015CD8",1.45779712180722
"PsA5020CD8",0.793176897878551
"PsA5021CD8",1.05340919950807
"PsA5022CD8",0.715181066847627
"PsA5024CD8",1.10322721028622
"PsA5036CD4",1.66251178720293
"PsA5036CD8",1.76900592891489
"NRHV086CD4",1.36723575428859
"NRHV086CD8",1.35296022854769
"NRHV121CD4",1.08596371939899
"NRHV121CD8",1.15077110211048
"NRHV322CD4",1.26370127694471
"NRHV322CD8",1.19387957382397
"NRHV324CD8",1.22738534779239
"PSA4947CD4",1.05962113069879
"PsA4957CD4",1.50133371127584
"PsA4959CD4",1.03232002238553
"PsA5006CD8",1.15147940585866
"PsA5019CD4",1.38328803760788
"PsA5021CD4",0.978325465637197
"NRHV073CD4",0.879110738765568
"NRHV073CD8",0.787038505345537
"NRHV079CD4",1.20587442107259
"NRHV079CD8",1.26331565999545
"NRHV168CD4",1.06923827487057
"NRHV290CD4",0.860740741217451
"NRHV295CD4",1.57037059798629
"NRHV295CD8",0.820802511190455
"NRHV332CD8",0.727817675024729
"PSA5040CD8",0.9122243463949
"PSA5040CD8SF",0.941054274177042
"NRHV168_CD8",1.03918900713273
"NRHV290_CD8",1.47299380599127
"NRHV326CD4",0.995951728959258
"NRHV332_CD4",1.35421009071998
"PSA4945_CD4",0.437145716515123
"PSA4949_CD8",0.259375820751207
"psa4951_CD4",0.745281717682849
"psa4951_CD8",0.735460409430339
"PSA4959_CD8",0.8967242950648
"PSA5017_CD4",1.504208206947
"PSA5017_CD8",1.11848553018007
"PSA5025CD8SF",0.90572961107323
"PSA5037_CD4",1.07627412295804
"PSA5039_CD8",0.558508741573739
"NRHV014XCD4",0.950253943755966
"NRHV014XCD8",1.1439517140686
"NRHV325_CD4",1.2945700895468
"NRHV325_CD8",1.32239187259361
"NRSF055CD4SF",1.4005926659005
"NRSF055CD8SF",1.36740212651128
"NRSF056CD8SF",0.5226627815803
"PSA4951CD4SF",1.29756866111395
"PSA4958CD8SF",0.737362247922516
"PSA4967CD4",1.41700389623191
"PSA4968CD4",1.29613357508568
"PSA5006CD4",1.56812657210237
"PSA5007CD4",1.00331751053795
"PSA4942CD8SF",0.856608201779192
"PSA4955CD8",2.10968661272486
"PSA4958CD4SF",1.22214217797578
"PSA4962CD4",0.458916887158141
"PSA4966CD8",1.16301341197054
"PSA5037CD8",2.02331436546393
"PSA5040CD4",1.54085877370859
